cluster,gene,pvals_adj
0,VIM,0.0
0,FTH1,0.0
0,TMSB4X,0.0
0,TMSB10,2.5133938607579447e-294
1,IGHG1,0.0
1,IGHM,8.90517552779396e-51
1,CXCR4,9.89551171655619e-08
1,MS4A1,0.23777953643073058
2,MT-CO3,0.0
2,CXCL14,0.0
2,MT-ATP6,0.0
2,CEACAM6,0.0
3,IGKC,0.0
3,C7,1.990781983028652e-49
3,VIM,8.505920542058296e-05
3,CXCR4,0.00011122758775070552
4,IGHA1,0.0
4,IGKC,0.0
4,JCHAIN,0.0
4,A2M,6.513280056611414e-33
5,SFTPC,0.0
5,SFTPB,0.0
5,SFTPA1,1.1143584617866012e-283
5,ZFP36,5.351189100968872e-68
6,IGKC,0.0
6,DES,0.9999581991974344
6,HBA2,0.9999581991974344
6,RIPOR2,0.9999581991974344
7,TAGLN,0.0
7,MYH11,0.0
7,MYL9,0.0
7,CSRP1,1.1176444298859393e-294
8,ZFP36,1.230027921667229e-56
8,SOCS3,2.2347716655100448e-43
8,AQP1,5.1953122054493224e-33
8,EPAS1,2.7066288374665394e-29
9,A2M,0.0
9,DCN,0.0
9,TIMP3,4.0109076247419165e-142
9,MGP,1.0424082714023173e-55
10,IGKC,0.0
10,IGHG1,0.0
10,IGHM,0.0
10,IGHA1,0.0
11,SCGB1A1,0.0
11,SCGB3A1,0.0
11,BPIFB1,0.0
11,WFDC2,0.0
12,IGHG1,0.0
12,IGKC,0.0
12,IGHA1,0.0
12,A2M,0.0
13,IGHG1,0.0
13,IGKC,0.0
13,CXCR4,0.2091120454570823
13,TXNDC5,0.9999907973343124
14,AGER,0.9999698010435191
14,CCL21,0.9999698010435191
14,HBA2,0.9999698010435191
14,HBB,0.9999698010435191
15,FTH1,0.0
15,SPP1,0.9999819174204349
15,MARCO,0.9999819174204349
15,ATP6V1B2,0.9999819174204349
16,TMSB4X,0.0
16,CD37,0.999973883155798
16,TRAC,0.999973883155798
16,SELL,0.999973883155798
17,MT-CO3,0.0
17,MT-ATP6,9.214203538127518e-26
17,CXCL14,4.2956115993359707e-19
17,MT-CO2,1.4906746414083106e-18
18,FTH1,1.9831928230594137e-123
18,MT-CO3,2.6007911163218317e-121
18,SPP1,0.00047835774378500977
18,MT-ATP6,0.999951748407333
19,MT-CO3,3.767729811730155e-64
19,TMSB4X,7.510186404218665e-63
19,SPP1,0.9999892752915188
19,MT-ND4,0.9999892752915188
20,VIM,3.545970649825511e-208
20,LMOD1,0.9999561024897514
20,RFLNB,0.9999561024897514
20,THBD,0.9999561024897514
21,SCGB1A1,3.80008660825407e-47
21,SCGB3A1,0.052462417503290414
21,BPIFB1,0.4529169156718967
21,MSMB,0.9999160734286344
