cluster,gene,pvals_adj
0,IGKC,0.0
0,IGHG1,0.0
0,IGHA1,0.0
0,JCHAIN,0.0
1,SFTPC,0.0
1,SFTPB,5.702246427136837e-194
1,SFTPA1,3.343723660386968e-158
1,ZFP36,1.6847323726238785e-18
2,VIM,2.0252763400057835e-138
2,TAGLN,1.095934283048138e-130
2,A2M,1.4279792414539488e-105
2,MGP,1.2202366295541407e-103
3,VIM,6.288899524966954e-130
3,CD74,1.3293724508592089e-102
3,LYZ,0.9999682627151978
3,ITGAX,0.9999682627151978
4,SPP1,0.0
4,FTL,0.0
4,CTSB,0.0
4,FTH1,0.0
5,SFTPB,0.0
5,MT-CO3,0.0
5,LPCAT1,0.0
5,CXCL14,0.0
6,CD74,2.0573526367597984e-298
6,IGKC,2.2887805823140583e-116
6,MS4A1,0.9999919513887399
6,CCL21,0.9999919513887399
7,SCGB1A1,0.0
7,SCGB3A1,0.0
7,BPIFB1,0.0
7,WFDC2,0.0
8,IGKC,0.0
8,DES,0.9999404886828909
8,VWF,0.9999404886828909
8,SYNPO2,0.9999404886828909
9,AGER,0.9999561201904774
9,LMOD1,0.9999561201904774
9,ADIRF,0.9999561201904774
9,CNN1,0.9999561201904774
10,A2M,0.0
10,DES,0.99999859565369
10,ACTA2,0.99999859565369
10,CALD1,0.99999859565369
11,MT-CO3,0.0
11,MT-CO2,1.1745911195462785e-92
11,MT-ATP6,8.492726768061157e-87
11,MT-ND4L,2.665952450115065e-54
12,SPP1,1.3591150254322653e-263
12,CTSB,0.999970971170158
12,MSR1,0.999970971170158
12,OLR1,0.999970971170158
13,MT-CO3,0.0
13,CD74,0.0
13,MT-ATP6,4.659604693709623e-224
13,CXCL14,1.3700148461628548e-210
14,FTL,0.0
14,LYZ,0.9999970017048964
14,SPI1,0.9999970017048964
14,OLR1,0.9999970017048964
15,IGHG1,4.745075212283227e-165
15,IGKC,2.5804949217617557e-92
15,DENND2A,0.9999904082130577
15,CALD1,0.9999904082130577
16,ZFP36,0.0
16,SOCS3,0.9999773079382679
16,EPAS1,0.9999773079382679
16,AQP1,0.9999773079382679
17,IGHG1,0.0
17,IGLC1,0.9999692222566996
17,CCDC3,0.9999692222566996
17,TMC8,0.9999692222566996
18,TAGLN,6.497328978736075e-189
18,LUM,1.4711228278688888e-13
18,C7,2.6684033551355817e-09
18,COL1A2,1.1924929136983574e-08
19,MMP2,1.1392124331061185e-142
19,CDH11,0.999933165871428
19,AEBP1,0.999933165871428
19,KCNMA1,0.999933165871428
20,JUN,2.234208896450857e-36
20,MT-CO3,6.081094325510903e-26
20,TMSB10,0.999907224338632
20,MT-ND4,0.999907224338632
21,AHNAK,9.79779597312051e-56
21,IGFBP7,4.590293247800494e-55
21,APOE,7.924848945321733e-34
21,LMOD1,0.9999760955491163
22,SFTPB,0.0
22,LPCAT1,2.6067414824833918e-17
22,CXCL14,3.3332242161126796e-07
22,CEACAM6,0.005778264495615703
23,COL6A2,3.065227104074199e-201
23,ACTA2,0.9999888763425532
23,TPM2,0.9999888763425532
23,DES,0.9999888763425532
24,MYH11,0.0
24,DES,7.776396883431117e-08
24,SORBS1,0.9999861087702723
24,MYLK,0.9999861087702723
25,CD74,0.0
25,CXCL14,0.9999909521371229
25,RAB11FIP1,0.9999909521371229
25,WSB1,0.9999909521371229
26,DES,2.3462631954107206e-25
26,ACTA2,5.979569373341753e-22
26,AQP1,8.741999846435991e-22
26,SOCS3,1.4259488394296806e-13
27,FTL,0.0
27,MT-CO3,4.7742058236999117e-225
27,MT-ATP6,1.2853457454502467e-07
27,MT-CO2,9.646819455885693e-05
28,SELENOP,1.7609469697948734e-147
28,AQP1,0.9999889766808782
28,C1R,0.9999889766808782
28,CXCL12,0.9999889766808782
29,MT-CO3,0.0
29,IGKC,3.5502185810955637e-134
29,MT-CO2,9.029740858169532e-06
29,MT-ATP6,8.246107425026496e-05
30,JUNB,3.0084351760287965e-282
30,JUND,4.074026130899983e-45
30,ACTA2,0.9999903902015869
30,EPAS1,0.9999903902015869
31,JUN,1.6184576541663842e-167
31,IGHA1,8.783412493251948e-42
31,PDE5A,0.9999957488690645
31,EGFL7,0.9999957488690645
