Gene1,Gene2
MS4A1,RAMP2
MS4A1,CLDN5
MS4A1,VWF
MS4A1,CDH5
MS4A1,ADH1B
MS4A1,OGN
MS4A1,SFRP2
MS4A1,CPA3
MS4A1,MS4A2
MS4A1,KIT
MS4A1,SLC18A2
MS4A1,IL1RL1
MS4A1,HDC
MS4A1,RHEX
TNFRSF13B,RAMP2
TNFRSF13B,CLDN5
TNFRSF13B,VWF
TNFRSF13B,CDH5
TNFRSF13B,ADH1B
TNFRSF13B,OGN
TNFRSF13B,SFRP2
TNFRSF13B,CPA3
TNFRSF13B,MS4A2
TNFRSF13B,KIT
TNFRSF13B,SLC18A2
TNFRSF13B,IL1RL1
TNFRSF13B,HDC
TNFRSF13B,RHEX
VPREB3,RAMP2
VPREB3,CLDN5
VPREB3,VWF
VPREB3,CDH5
VPREB3,ADH1B
VPREB3,OGN
VPREB3,SFRP2
VPREB3,CPA3
VPREB3,MS4A2
VPREB3,KIT
VPREB3,SLC18A2
VPREB3,IL1RL1
VPREB3,HDC
VPREB3,RHEX
RAMP2,ADH1B
RAMP2,OGN
RAMP2,SFRP2
RAMP2,CPA3
RAMP2,MS4A2
RAMP2,KIT
RAMP2,SLC18A2
RAMP2,IL1RL1
RAMP2,HDC
RAMP2,RHEX
CLDN5,ADH1B
CLDN5,OGN
CLDN5,SFRP2
CLDN5,CPA3
CLDN5,MS4A2
CLDN5,KIT
CLDN5,SLC18A2
CLDN5,IL1RL1
CLDN5,HDC
CLDN5,RHEX
VWF,ADH1B
VWF,OGN
VWF,SFRP2
VWF,CPA3
VWF,MS4A2
VWF,KIT
VWF,SLC18A2
VWF,IL1RL1
VWF,HDC
VWF,RHEX
CDH5,ADH1B
CDH5,OGN
CDH5,SFRP2
CDH5,CPA3
CDH5,MS4A2
CDH5,KIT
CDH5,SLC18A2
CDH5,IL1RL1
CDH5,HDC
CDH5,RHEX
ADH1B,CPA3
ADH1B,MS4A2
ADH1B,KIT
ADH1B,SLC18A2
ADH1B,IL1RL1
ADH1B,HDC
ADH1B,RHEX
OGN,CPA3
OGN,MS4A2
OGN,KIT
OGN,SLC18A2
OGN,IL1RL1
OGN,HDC
OGN,RHEX
SFRP2,CPA3
SFRP2,MS4A2
SFRP2,KIT
SFRP2,SLC18A2
SFRP2,IL1RL1
SFRP2,HDC
SFRP2,RHEX
