Gene1,Gene2,Cell_Coexpression,Nuclei_Coexpression,Relative_Increase
COL6A3,SPAG9,0.07926829268292683,0.004672897196261682,16.963414634146343
CHIT1,TRIM22,0.06111111111111111,0.004672897196261682,13.077777777777778
LUM,TRIQK,0.08,0.00625,12.799999999999999
SPAG9,COL6A3,0.030373831775700934,0.002386634844868735,12.72663551401869
C7,CAPZB,0.06557377049180328,0.005555555555555556,11.80327868852459
TRIM22,CHIT1,0.02689486552567237,0.002398081534772182,11.21515892420538
C1R,MAST4,0.08602150537634409,0.007751937984496124,11.096774193548388
DCN,CLDN3,0.06593406593406594,0.006493506493506494,10.153846153846153
MYH11,APLP2,0.011058451816745656,0.0011086474501108647,9.974723538704582
C4orf3,LLGL2,0.06329113924050633,0.00641025641025641,9.873417721518988
MFAP4,SQSTM1,0.018276762402088774,0.001851851851851852,9.869451697127937
MMP2,IFI44L,0.056451612903225805,0.005917159763313609,9.540322580645162
MFSD1,SEL1L3,0.04294478527607362,0.004524886877828055,9.490797546012269
SPARCL1,PON2,0.03424657534246575,0.0036101083032490976,9.486301369863012
BTG2,UQCR10,0.0546875,0.005780346820809248,9.4609375
ASAH1,MIF,0.031818181818181815,0.003367003367003367,9.45
IKZF1,ODF3B,0.03488372093023256,0.003703703703703704,9.41860465116279
TAGLN,ODF3B,0.03488372093023256,0.003703703703703704,9.41860465116279
COL6A2,PDIA6,0.061224489795918366,0.006535947712418301,9.36734693877551
COL6A3,CXCL16,0.04878048780487805,0.005235602094240838,9.317073170731707
BGN,ZBTB18,0.047619047619047616,0.005154639175257732,9.238095238095237
ZYX,SEC31A,0.03932584269662921,0.004347826086956522,9.044943820224718
NBL1,TMED9,0.03468208092485549,0.0038461538461538464,9.017341040462426
ADA2,CALU,0.0335195530726257,0.0037174721189591076,9.016759776536313
COL6A3,PDXK,0.028985507246376812,0.003215434083601286,9.01449275362319
SEL1L3,MFSD1,0.04,0.0044444444444444444,9.0
AEBP1,SOX4,0.06451612903225806,0.007246376811594203,8.903225806451612
IGHG3,F11R,0.0423728813559322,0.004784688995215311,8.85593220338983
CCN2,CD151,0.037267080745341616,0.004219409282700422,8.832298136645964
LAPTM5,TPD52,0.06521739130434782,0.007407407407407408,8.804347826086955
AKT1,COX7C,0.05,0.005681818181818182,8.8
MYL9,CPNE3,0.04672897196261682,0.005319148936170213,8.785046728971963
IKZF1,DNAJC3,0.05555555555555555,0.006329113924050633,8.777777777777777
UQCR10,BTG2,0.040229885057471264,0.0045871559633027525,8.770114942528735
